packet_size,apu_timestamp,rpu_timestamp,delta_ticks,delta_us
1,1392047025,1392047373,348,3.480
1,1392068812,1392069012,200,2.000
1,1392090195,1392090357,162,1.620
1,1392109279,1392109459,180,1.800
1,1392130779,1392130959,180,1.800
1,1392152142,1392152277,135,1.350
1,1392173487,1392173630,143,1.430
1,1392194832,1392194999,167,1.670
1,1392216171,1392216373,202,2.020
1,1392237577,1392237725,148,1.480
1,1392258946,1392259089,143,1.430
1,1392280284,1392280442,158,1.580
1,1392301616,1392301760,144,1.440
1,1392322959,1392323113,154,1.540
1,1392344323,1392344482,159,1.590
1,1392365670,1392365851,181,1.810
1,1392387021,1392387156,135,1.350
1,1392408379,1392408522,143,1.430
1,1392429711,1392429874,163,1.630
1,1392451069,1392451243,174,1.740
1,1392472414,1392472613,199,1.990
1,1392493749,1392493914,165,1.650
1,1392515144,1392515283,139,1.390
1,1392536513,1392536687,174,1.740
1,1392557874,1392558055,181,1.810
1,1392579205,1392579379,174,1.740
1,1392600530,1392600676,146,1.460
1,1392621858,1392622045,187,1.870
1,1392643217,1392643397,180,1.800
1,1392664567,1392664716,149,1.490
1,1392685920,1392686068,148,1.480
1,1392707252,1392707390,138,1.380
1,1392728613,1392728807,194,1.940
1,1392749947,1392750108,161,1.610
1,1392771304,1392771477,173,1.730
1,1392792626,1392792779,153,1.530
1,1392813983,1392814148,165,1.650
1,1392835303,1392835450,147,1.470
1,1392856653,1392856819,166,1.660
1,1392877985,1392878143,158,1.580
1,1392899313,1392899490,177,1.770
1,1392920723,1392920860,137,1.370
1,1392942108,1392942262,154,1.540
1,1392963450,1392963631,181,1.810
1,1392984783,1392984955,172,1.720
1,1393006125,1393006302,177,1.770
1,1393027456,1393027621,165,1.650
1,1393048773,1393048923,150,1.500
1,1393070121,1393070293,172,1.720
1,1393091470,1393091644,174,1.740
1,1393112806,1393112963,157,1.570
1,1393134143,1393134337,194,1.940
1,1393155478,1393155634,156,1.560
1,1393176831,1393177003,172,1.720
1,1393198185,1393198355,170,1.700
1,1393219517,1393219674,157,1.570
1,1393240853,1393241026,173,1.730
1,1393262179,1393262345,166,1.660
1,1393283529,1393283719,190,1.900
1,1393304858,1393305016,158,1.580
1,1393322842,1393323020,178,1.780
1,1393344185,1393344338,153,1.530
1,1393365523,1393365690,167,1.670
1,1393386874,1393387010,136,1.360
1,1393408199,1393408379,180,1.800
1,1393429535,1393429680,145,1.450
1,1393450870,1393451049,179,1.790
1,1393472202,1393472351,149,1.490
1,1393493554,1393493720,166,1.660
1,1393514889,1393515024,135,1.350
1,1393536226,1393536391,165,1.650
1,1393557563,1393557761,198,1.980
1,1393578905,1393579062,157,1.570
1,1393600247,1393600381,134,1.340
1,1393621571,1393621733,162,1.620
1,1393642933,1393643103,170,1.700
1,1393664261,1393664404,143,1.430
1,1393685585,1393685723,138,1.380
1,1393707377,1393707557,180,1.800
1,1393729087,1393729269,182,1.820
1,1393750409,1393750587,178,1.780
1,1393771753,1393771889,136,1.360
1,1393793083,1393793258,175,1.750
1,1393814437,1393814611,174,1.740
1,1393835770,1393835929,159,1.590
1,1393857101,1393857299,198,1.980
1,1393878443,1393878600,157,1.570
1,1393899763,1393899919,156,1.560
1,1393921109,1393921271,162,1.620
1,1393942478,1393942640,162,1.620
1,1393963801,1393963942,141,1.410
1,1393985142,1393985311,169,1.690
1,1394006471,1394006635,164,1.640
1,1394027807,1394027982,175,1.750
1,1394049155,1394049301,146,1.460
1,1394070489,1394070653,164,1.640
1,1394091852,1394092023,171,1.710
1,1394115280,1394115467,187,1.870
1,1394137188,1394137368,180,1.800
1,1394158856,1394158993,137,1.370
16,1394183654,1394183807,153,1.530
16,1394205384,1394205551,167,1.670
16,1394227024,1394227220,196,1.960
16,1394248640,1394248767,127,1.270
16,1394270235,1394270389,154,1.540
16,1394291814,1394291960,146,1.460
16,1394313417,1394313585,168,1.680
16,1394335031,1394335203,172,1.720
16,1394356631,1394356774,143,1.430
16,1394378233,1394378397,164,1.640
16,1394399840,1394399967,127,1.270
16,1394421422,1394421588,166,1.660
16,1394443037,1394443210,173,1.730
16,1394464618,1394464764,146,1.460
16,1394486211,1394486385,174,1.740
16,1394507951,1394508108,157,1.570
16,1394529561,1394529729,168,1.680
16,1394551179,1394551351,172,1.720
16,1394572777,1394572922,145,1.450
16,1394594369,1394594496,127,1.270
16,1394615994,1394616165,171,1.710
16,1394637579,1394637736,157,1.570
16,1394659193,1394659358,165,1.650
16,1394680786,1394680929,143,1.430
16,1394702384,1394702551,167,1.670
16,1394723978,1394724128,150,1.500
16,1394745581,1394745725,144,1.440
16,1394767151,1394767297,146,1.460
16,1394788728,1394788868,140,1.400
16,1394810336,1394810489,153,1.530
16,1394831934,1394832061,127,1.270
16,1394853553,1394853682,129,1.290
16,1394875143,1394875306,163,1.630
16,1394896755,1394896925,170,1.700
16,1394918475,1394918648,173,1.730
16,1394940069,1394940219,150,1.500
16,1394961663,1394961840,177,1.770
16,1394983287,1394983462,175,1.750
16,1395004857,1395005016,159,1.590
16,1395026466,1395026637,171,1.710
16,1395048048,1395048208,160,1.600
16,1395069651,1395069779,128,1.280
16,1395091241,1395091401,160,1.600
16,1395112821,1395112972,151,1.510
16,1395134435,1395134593,158,1.580
16,1395156039,1395156166,127,1.270
16,1395177623,1395177786,163,1.630
16,1395199210,1395199364,154,1.540
16,1395220826,1395220962,136,1.360
16,1395242415,1395242583,168,1.680
16,1395264003,1395264154,151,1.510
16,1395285606,1395285776,170,1.700
16,1395307333,1395307498,165,1.650
16,1395328949,1395329120,171,1.710
16,1395350532,1395350691,159,1.590
16,1395372121,1395372262,141,1.410
16,1395393712,1395393884,172,1.720
16,1395415305,1395415455,150,1.500
16,1395436884,1395437028,144,1.440
16,1395458463,1395458654,191,1.910
16,1395480066,1395480201,135,1.350
16,1395501648,1395501774,126,1.260
16,1395523222,1395523394,172,1.720
16,1395544810,1395544965,155,1.550
16,1395566403,1395566536,133,1.330
16,1395588011,1395588158,147,1.470
16,1395609587,1395609729,142,1.420
16,1395631168,1395631353,185,1.850
16,1395652748,1395652928,180,1.800
16,1395674331,1395674475,144,1.440
16,1395695917,1395696046,129,1.290
16,1395717634,1395717769,135,1.350
16,1395739243,1395739390,147,1.470
16,1395760838,1395761012,174,1.740
16,1395782445,1395782583,138,1.380
16,1395804080,1395804207,127,1.270
16,1395825693,1395825826,133,1.330
16,1395847293,1395847448,155,1.550
16,1395868883,1395869019,136,1.360
16,1395890457,1395890643,186,1.860
16,1395912035,1395912218,183,1.830
16,1395933620,1395933765,145,1.450
16,1395955217,1395955387,170,1.700
16,1395976806,1395976958,152,1.520
16,1395998405,1395998531,126,1.260
16,1396020013,1396020150,137,1.370
16,1396041588,1396041722,134,1.340
16,1396063175,1396063343,168,1.680
16,1396084770,1396084914,144,1.440
16,1396107381,1396107517,136,1.360
16,1396129047,1396129184,137,1.370
16,1396150628,1396150755,127,1.270
16,1396172215,1396172376,161,1.610
16,1396193799,1396193953,154,1.540
16,1396215408,1396215551,143,1.430
16,1396236999,1396237126,127,1.270
16,1396258594,1396258744,150,1.500
16,1396280189,1396280316,127,1.270
16,1396301767,1396301937,170,1.700
16,1396323362,1396323508,146,1.460
32,1396348186,1396348340,154,1.540
32,1396369871,1396370011,140,1.400
32,1396391454,1396391627,173,1.730
32,1396413049,1396413199,150,1.500
32,1396434649,1396434821,172,1.720
32,1396456237,1396456394,157,1.570
32,1396477833,1396478019,186,1.860
32,1396499415,1396499567,152,1.520
32,1396521015,1396521188,173,1.730
32,1396542606,1396542759,153,1.530
32,1396564195,1396564331,136,1.360
32,1396585805,1396585952,147,1.470
32,1396607379,1396607523,144,1.440
32,1396628955,1396629095,140,1.400
32,1396650569,1396650716,147,1.470
32,1396672148,1396672337,189,1.890
32,1396693745,1396693891,146,1.460
32,1396715337,1396715513,176,1.760
32,1396736947,1396737084,137,1.370
32,1396758529,1396758705,176,1.760
32,1396780111,1396780277,166,1.660
32,1396801684,1396801848,164,1.640
